id;answer
CORP-TAX-001;Die Bemessungsgrundlage ist das Einkommen oder der Gewinn nach den Vorschriften des § 7 KStG (§ 1 Abs. 1 KStG).
CORP-TAX-002;Das kann als steuerbarer Leistungsaustausch qualifiziert werden und zur Einkommenssteuer herangezogen werden (§ 7 Abs. 2 KStG).
CORP-TAX-003;Gruppenmitglieder sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen (§ 9 Abs. 4 KStG).
CORP-TAX-004;Eine Dividende ist als sonstiger steuerbarer Einkünfte auszugeben (§ 22 EStG).
CORP-TAX-005;Eine offene Ausschüttung wird dem Begünstigten steuerbilanziert, während eine verdeckte Ausschüttung steuerneutral ist (§ 10 KStG).
CORP-TAX-006;Der Verlustabzug beträgt grundsätzlich bis zu 2 % des Jahresumsatzes (§ 10 EStG). Für bestimmte Betriebe gelten Sonderregelungen (§ 10 Abs. 3 EStG).
CORP-TAX-007;Ein Mantelkauf liegt bei der Übertragung eines Betriebes ohne ausdrückliche Abgabepflichtverpflichtung vor (§ 6 Abs. 2 UStG).
CORP-TAX-008;Ein Forderungsverzicht kann steuerlich bedeutsame Auswirkungen haben, da dies als Sonderausgaben abzugsfähig sein kann (§ 18 Abs. 1 Z 2 EStG).
CORP-TAX-009;Bei ausländischen Gruppenmitgliedern ist die Verlustverrechnung nur unter bestimmten Voraussetzungen zulässig (§ 10 Abs. 3 KStG).
CORP-TAX-010;Nein, innergruppentreibende Leistungen sind steuerfrei (§ 6 Abs. 1 Z 1 UStG).
CORP-TAX-011;Ja, solange die Voraussetzungen erfüllt sind, sind Abschreibungen auf den niedrigeren Teilwert abzugsfähig (§ 10 Abs. 3 EStG).
CORP-TAX-012;Eine Dividende kann steuerfrei sein, wenn die Voraussetzungen des § 10 KStG erfüllt sind (§ 10 Abs. 1 KStG).
CORP-TAX-013;§ 10 KStG kann auf Gruppen mit Sitz im EU/AEVR-Raum oder mit Beteiligung ausländischer Gruppen anwendbar sein (§ 10 Abs. 2 KStG). § 12 Abs. 1 Z 10 KStG kann auf Gruppen mit Sitz im EU/AEVR-Raum anwendbar sein (§ 12 Abs. 2 KStG).
CORP-TAX-014;Für eine internationale Schachtelbeteiligung müssen mindestens 10 % des Grundkapitals an einem ausländischen Unternehmen gehalten werden (§ 10 Abs. 2 KStG).
CORP-TAX-015;Veräußerungsgewinne aus internationalen Schachtelbeteiligungen zählen grundsätzlich nicht zum steuerpflichtigen Einkommen (§ 10 Abs. 2 KStG).
CORP-TAX-016;Nein, da die Beteiligung nicht unternehmerisch genutzt wird, ist der Zinsausgaben keine betriebliche Einnahme (§ 18 Abs. 1 Z 2 EStG).
CORP-TAX-017;§ 11 KStG regelt den allgemeinen Betriebsausgabenabzug, während § 12 KStG bestimmte Sonderausgaben wie Versicherungsprämien betrachtet (§ 11 KStG gegenüber § 12 KStG: allgemeiner gegenüber speziellem Regelungsinhalt, § 11 KStG: allgemeiner, § 12 KStG: spezieller, § 11 KStG: allgemeine Voraussetzungen, § 12 KStG: besondere Voraussetzungen, § 11 KStG: allgemeine Begünstigung, § 12 KStG: besondere
CORP-TAX-018;Freiwillige Spenden an begünstigte Organisationen sind grundsätzlich als Sonderausgaben abzugsfähig (§ 18 Abs. 1 Z 7 EStG).
CORP-TAX-019;### (a) EU-Geldbußen zählen nicht zu den Sonderausgaben, da sie nicht aufgebracht werden (§ 18 Abs. 1 Z 1 EStG). ### (b) Spenden an begünstigte Empfänger sind bis zu einem gesetzlich festgelegten Höchstbetrag abzugsfähig (§ 18 Abs. 1 Z 3 EStG). ### (c) Aufsichtsratsvergütungen sind nur unter bestimmten Voraussetzungen als Sonderausgaben abzugsfähig (§ 18 Abs. 2 EStG). ### (d) Lizenzgebühren an konzern
CORP-TAX-020;Lizenzgebühren sind nicht abzugsfähig, wenn die Nutzung dem steuerpflichtigen Unternehmen vorsteuerbarer Leistungen dient (§ 12 Abs. 2 KStG).
CORP-TAX-021;Der Gewinn ergibt sich nach den Vorschriften des § 7 EStG (§ 7 Abs. 1 KStG).
CORP-TAX-022;Die Prüfung umfasst insbesondere die Beteiligungshöhe, die Gruppenzugehörigkeit und die Steuerpflicht des Körpers (§ 7 KStG).
CORP-TAX-023;Bei positiven Jahren ist die Körperschaftsteuerpflicht grundsätzlich gegeben (§ 7 KStG).
CORP-TAX-024;Der Gewinn ergibt sich regelmäßig jährlich nach dem Gesamtbetragverfahren (§ 10 EStG). Eine andere Beteiligung kann unter bestimmten Voraussetzungen zugelassen werden (§ 12 EStG).
CORP-TAX-025;Einlagen und Beiträge zählen zum Einbringungsvermögen und werden steuerlich berücksichtigt (§ 6 Abs. 3 KStG).
CORP-TAX-026;Der Verlustabzug ist unbeschränkt, wenn die Einkünfte des Vorjahres positiv sind (§ 8 Abs. 4 Z 2 lit. b KStG).
CORP-TAX-027;Eine finanzielle Verbindung liegt bei einer Beteiligung von mehr als 50 % der Stimmrechte und des Kapitals vor (§ 9 KStG).
CORP-TAX-028;Die finanzielle Verbindung muss mindestens sechs Monate lang bestehen (§ 9 Abs. 4 KStG).
CORP-TAX-029;Ja, Vorgruppenverluste können mit dem Gruppengewinn verrechnet werden, sofern die Voraussetzungen erfüllt sind (§ 9 Abs. 6 KStG).
CORP-TAX-030;Für die Gruppenzugehörigkeit muss eine ausreichende Beteiligung bestehen (§ 9 Abs. 4 KStG).
CORP-TAX-031;Vorgruppenverluste sind Verluste von Gruppenmitgliedern, die dem Gruppenträger zugerechnet werden (§ 9 Abs. 6 KStG). Sie werden dem Gruppenträger zugerechnet, sofern die Voraussetzungen erfüllt sind (§ 9 Abs. 5 KStG).
CORP-TAX-032;Bei einem ausländischen Gruppenmitglied kann die Verlustverrechnung nur bis zur Höhe des Einkommens erfolgen (§ 9 Abs. 6 KStG).
CORP-TAX-033;Nein, die Einjahresfrist gilt nur für Neubeteiligungen (§ 10 Abs. 2 KStG).
CORP-TAX-034;Die Bewertung richtet sich nach den Vorschriften des Bewertungsgesetzes und den internationalen Übereinkünften (§ 7 Abs. 2 KStG).
CORP-TAX-035;Ja, eine Beteiligung von mindestens 8 % qualifiziert für die Begünstigung (§ 10 Abs. 2 KStG). Die Dividende ist unter bestimmten Voraussetzungen steuerfrei (§ 10 Abs. 1 KStG).
CORP-TAX-036;Die Option kann zur Steuerwirksamkeit führen, wenn die Voraussetzungen erfüllt sind (§ 13 Abs. 3 KStG).
CORP-TAX-037;Gewinnanteile sind steuerpflichtig, wenn die Schachtelbeteiligung mehr als 50 % beträgt und das ausländische Unternehmen unterliegt einer Körperschaftsteuerpflicht (§ 10 Abs. 2 KStG).
CORP-TAX-038;Körperschaftsspezifische Aufwendungen sind insbesondere Gebühren und Stempelgebühren (§ 11 KStG).
CORP-TAX-039;Bestimmte Steuern wie Körperschaftsteuer und Stempelgebühren sind nicht als Betriebsausgaben abzugsfähig (§ 12 KStG).
CORP-TAX-040;Die Zinsermittlung ist nur zulässig, wenn die Beteiligung nicht ausschließlich unternehmerisch genutzt wird (§ 10 Abs. 2 KStG).
CORP-TAX-041;Der Gewinn wird grundsätzlich im Jahr der Bilanzierung festgestellt (§ 7 Abs. 2 KStG).
CORP-TAX-042;Das Einkommen ergibt sich aus dem Gesamtbetrag der Einkünfte nach Abzug von Sonderausgaben und Verlusten (§ 7 Abs. 2 KStG). Beteiligungserträge und Einnahmen aus bestimmten sonstigen Einkünften zählen nicht zum Einkommen (§ 7 Abs. 3 KStG).
CORP-TAX-043;Die §§ 7–12 KStG regeln die Überleitung vom Handelsbilanzgewinn zum steuerpflichtigen Einkommen und sind bei der Bewertung von Vermögen und Einkünften relevant (§ 7 KStG).
CORP-TAX-044;Die Art der Einkommensverwendung kann relevant sein, da bestimmte Einkünfte nur unter bestimmten Voraussetzungen zulässig sind (§ 8 Abs. 1 KStG).
CORP-TAX-045;Ja, da die Körperschaft besteuert wird nach dem Prinzip der Einkommensteuer (§ 7 KStG), gelten die Vorschriften des § 10 EStG sinngemäß (§ 9 KStG).
CORP-TAX-046;Ein Mantelkauf ist die Übertragung eines Betriebes oder Mitunternehmeranteils gegen Zahlung eines Betrages an den Gruppenträger (§ 8 KStG). Beim Ausscheiden aus einer Gruppe kann ein Verlustvortrag verloren gehen, wenn die Voraussetzungen nicht erfüllt sind (§ 9 KStG).
