id,prompt,correct_answer,sources,student_id,notes,corrected sources,direct citations from sources,answer,cit_recall,bleu,rouge_l,bertscore_f1
CORP-TAX-001,Was ist die steuerliche Bemessungsgrundlage für die Körperschaftsteuer?,"Das Einkommen, das der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat (§ 7 Abs. 1 KStG).",§ 7 Abs. 1 KStG 1988,h12239827,"§ 7 Abs. 1 KStG 1988 allein ist nicht ausreichend, um die Frage nach der Bemessungsgrundlage vollständig zu beantworten. Er ist zwar der notwendige Ankerpunkt, aber er liefert nur die halbe Wahrheit. § 7 Abs. 1 ist die Überschrift, aber die Rechenformel steht in § 7 Abs. 2 i.V.m. den Gewinnermittlungsvorschriften des EStG.","§ 7 Abs. 1 KStG
§ 7 Abs. 2 KStG","""Der Körperschaftsteuer ist das Einkommen zugrunde zu legen, das die Körperschaft innerhalb eines Kalenderjahres erzielt hat.""
""Einkommen ist der Gesamtbetrag der Einkünfte aus den im § 2 Abs. 3 des Einkommensteuergesetzes 1988 aufgezählten Einkunftsarten nach Ausgleich mit Verlusten, die sich aus den einzelnen Einkunftsarten ergeben, und nach Abzug der Sonderausgaben (§ 8 Abs. 4).""","Die Bemessungsgrundlage der Körperschaftsteuer ist das Einkommen der Körperschaft, das nach den Vorschriften des Einkommensteuergesetzes ermittelt wird und sich aus Einkünften aus Land- und Forstwirtschaft, Gewerbebetrieb, selbstständiger Arbeit, Kapitalvermögen, Vermietung und Verpachtung sowie sonstigen Einkünften zusammensetzt (§ 7 Abs 1 KStG 1988). Von diesem Einkommen werden Betriebsausgaben, Werbungskosten und Sonderausgaben abgezogen, wobei auch Körperschaftsteuer-spezifische Regelungen wie die Hinzurechnung bestimmter Aufwendungen zu beachten sind (§ 8 KStG 1988).",0.0,0.00722045363978039,0.15730337078651688,0.68395793
CORP-TAX-002,"Welche steuerlichen Konsequenzen hat es, wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt?",Die nicht verrechneten Zinsen stellen eine verdeckte Ausschüttung dar (§ 8 Abs. 2 KStG) – das Einkommen wird um die fremdüblichen Zinsen erhöht. Grundlage der Einkommensermittlung ist § 7 Abs. 2/3 KStG. § 12 Abs. 1 Z 2 KStG kann zusätzlich greifen bei unangemessen hohen Gesellschaftervorteilen.,§ 7 Abs. 2/3 KStG 1988; § 8 Abs. 2 KStG 1988; § 12 Abs. 1 Z 2 KStG 1988,h12239827,,,,"Ein zinslos vergebenes Darlehen an einen Gesellschafter führt zu einer verdeckten Gewinnausschüttung in Höhe des entgangenen Zinsertrags, die bei der Körperschaft als nicht abzugsfähige Betriebsausgabe behandelt wird und beim Gesellschafter als Einkünfte zu versteuern sind (§ 8 Abs 3 KStG 1988, § 1 Abs 1 EStG 1988). Die Höhe der verdeckten Gewinnausschüttung wird nach dem Ertragswertverfahren oder anhand vergleichbarer Marktzinssätze ermittelt (§ 8 Abs 3 KStG 1988).",0.0,0.008793669802561379,0.16666666666666666,0.7145336
CORP-TAX-003,"Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen?","Steuerpflichtige, die aufgrund ihrer Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, rechnungslegungspflichtige Erwerbs- und Wirtschaftsgenossenschaften sowie vergleichbare ausländische Körperschaften (§ 7 Abs. 3 KStG).",§ 7 Abs. 3 KStG 1988,h12239827,,,,"Kapitalgesellschaften wie Aktiengesellschaften und Gesellschaften mit beschränkter Haftung sind verpflichtet, sämtliche Einkünfte ihren Einkünften aus Gewerbebetrieb zuzurechnen, da sie als Betriebsstätten behandelt werden und keine Unterscheidung nach Einkunftsarten vornehmen (§ 4 Abs 1 KStG 1988, § 7 Abs 1 KStG 1988).",0.0,0.006369304104455854,0.14285714285714285,0.7053944
CORP-TAX-004,Wie wird eine Dividende einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft steuerlich behandelt?,(a) Tochter: Die Ausschüttung ist Einkommensverwendung und beeinflusst das steuerpflichtige Einkommen der Tochter nicht (§ 8 Abs. 2 KStG). (b) Mutter: Die Dividende ist als Beteiligungsertrag steuerfrei – ohne Mindestquote oder Haltefrist (§ 10 Abs. 1 Z 1 KStG).,§ 8 Abs. 2 KStG 1988; § 10 Abs. 1 Z 1 KStG 1988,h12239827,,,,"Bei der Tochtergesellschaft ist die Gewinnausschüttung als Entnahme zu behandeln, die den Gewinn mindert und zur Körperschaftsteuer führt (§ 4 Abs 1, § 5 KStG 1988). Bei der Muttergesellschaft unterliegt die Dividende grundsätzlich der Körperschaftsteuer, es sei denn, es liegt eine Betriebsstättenbeteiligung vor und die Voraussetzungen der Schachtelprivilegierung sind erfüllt – dann ist die Dividende steuerfrei, sofern die Beteiligung mindestens 10 % beträgt und ein Jahr gehalten wurde (§ 10 KStG 1988).",0.0,0.00797747599484009,0.19642857142857145,0.735063
CORP-TAX-005,Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?,"Im Ergebnis unterscheiden sie sich nicht. Beide sind Einkommensverwendung nach § 8 Abs. 2 KStG. Bei verdeckten Ausschüttungen werden die nicht fremdüblichen Aufwendungen dem Einkommen hinzugerechnet, da keine betriebliche Veranlassung vorliegt.",§ 8 Abs. 2 KStG 1988 ,h12239827,,,,"Eine offene Ausschüttung ist eine explizite Gewinnverteilung, die zu einer Körperschaftsteuerbelastung führt und die Gewinne mindert, während eine verdeckte Ausschüttung eine wirtschaftliche Leistung an Gesellschafter ohne formale Ausschüttung darstellt, die ebenfalls körperschaftsteuerpflichtig ist, aber nicht zu einer Gewinnminderung führt und daher zu einer Doppelbelastung (Körperschaftsteuer + Einkommensteuer beim Empfänger) führen kann (§ 8 Abs 3 KStG 1988, § 1 Abs 1 KStG 1988).",0.0,0.004089890369035105,0.07766990291262135,0.7092809
CORP-TAX-006,Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?,"75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.",§ 8 Abs. 4 Z 2 lit. a–b KStG 1988,h12239827,,,,"Der Verlustabzug ist grundsätzlich unbegrenzt, soweit Einkünfte aus derselben Einkunftsart vorhanden sind (§ 2 Abs 5 EStG 1988). Eine Ausnahme bildet die Verlustabzugsbeschränkung bei Einkünften aus Kapitalvermögen, wo Verluste nur gegen Gewinne aus Kapitalvermögen verrechenbar sind (§ 2 Abs 5a EStG 1988), sowie die Regelung des § 4 Abs 6 EStG 1988, wonach Verluste aus Einkünften, die der Besteuerung entzogen sind, nicht abzugsfähig sind.",0.0,0.008998901289965153,0.1509433962264151,0.6881157
CORP-TAX-007,Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?,"Ein Mantelkauf liegt vor, wenn die wirtschaftliche Identität einer Körperschaft durch wesentliche Änderung der Gesellschafter- und Unternehmensstruktur auf entgeltlicher Grundlage verloren geht (§ 8 Abs. 4 Z 2 lit. c KStG). Folge: Verlustabzug steht nicht mehr zu. Ausnahme: Sanierung zur Erhaltung wesentlicher Arbeitsplätze.",§ 8 Abs. 4 Z 2 lit. c KStG 1988,h12239827,,,,"Ein Mantelkauf ist der Erwerb einer Kapitalgesellschaft (GmbH, AG) primär wegen ihrer Rechtsform und Betriebsstätte, nicht wegen ihrer Betriebsmittel oder des laufenden Geschäftsbetriebs. Die steuerliche Konsequenz ist, dass die Finanzbehörde dies als Betriebsstättenwechsel einstufen kann, wodurch Verlustvorträge verfallen und eine Betriebsprüfung ausgelöst werden kann; zudem können verdeckte Gewinnausschüttungen oder Umstrukturierungen zu Nachzahlungen führen (§ 4 Abs 4a EStG 1988, § 8 Abs 3 KStG 1988, § 12 Abs 3 KStG 1988).",0.0,0.008092289328256766,0.11290322580645161,0.7250411
CORP-TAX-008,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?,Der werthaltige Teil gilt als Einlage (§ 8 Abs. 1 KStG – außer Ansatz). Der nicht mehr werthaltige Teil ist steuerwirksam und erhöht das Einkommen der Körperschaft.,§ 8 Abs. 1 KStG 1988,h12239827,,,,"Ein Forderungsverzicht eines Gesellschafters führt zu einer verdeckten Gewinnausschüttung, die beim Gesellschafter als Einkünfte zu erfassen ist und die Betriebsausgaben der Körperschaft mindert, soweit der Verzicht nicht als Kapitaleinlage qualifiziert wird. Die Höhe der Betriebsausgabenkürzung entspricht dem Wert der verzichteten Forderung (§ 8 Abs 3 KStG 1988, § 4 Abs 1 EStG 1988).",0.0,0.010637896949422281,0.1411764705882353,0.7296139
CORP-TAX-009,Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?,"Bei ausländischen Mitgliedern (§ 9 Abs. 6 Z 6 KStG) werden nur die nach österreichischem Recht ermittelten Verluste (max. ausländischer Verlust) zugerechnet, begrenzt auf 75 % des österreichischen Gruppeneinkommens. Bei inländischen Mitgliedern wird das volle Ergebnis zugerechnet (§ 9 Abs. 6 Z 1 KStG).",§ 9 Abs. 6 Z 1 und Z 6 KStG 1988,h12239827,,,,"Ausländische Gruppenmitglieder können ihre Verluste grundsätzlich nicht mit Gewinnen inländischer Gruppenmitglieder verrechnet werden, da die Gruppenbesteuerung nur auf inländische Betriebsstätten und österreichische Körperschaften anwendbar ist; inländische Gruppenmitglieder können hingegen ihre Verluste untereinander und mit der Muttergesellschaft verrechnen, sofern die Voraussetzungen der Gruppenbesteuerung erfüllt sind (§ 9 Abs 1 und 2 KStG 1988, § 9 Abs 5 KStG 1988).",0.0,0.00941475678741239,0.16363636363636364,0.7214357
CORP-TAX-010,Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig?,Nein. Steuerumlagen zum Ausgleich der Wirkungen aus der Ergebniszurechnung sind gemäß § 9 Abs. 6 Z 5 KStG steuerneutral.,§ 9 Abs. 6 Z 5 KStG 1988,h12239827,,,,"Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind grundsätzlich nicht steuerpflichtig, da sie als innerbetriebliche Umverteilung von Steuerlasten zu qualifizieren sind und keine eigenständigen Leistungsentgelte darstellen. Dies gilt insbesondere bei der Körperschaftsteuer-Organschaft, wo die Umlage der Körperschaftsteuer vom Organträger auf die Organmitglieder nicht als steuerpflichtiger Umsatz behandelt wird (§ 9 Abs 1 KStG 1988, § 1 Abs 1 UStG 1994).",0.0,0.005120485239565197,0.14814814814814814,0.7201932
