id,prompt,correct_answer,sources,student_id,notes,corrected sources,direct citations from sources,answer,cit_recall,bleu,rouge_l,bertscore_f1
CORP-TAX-001,Was ist die steuerliche Bemessungsgrundlage für die Körperschaftsteuer?,"Das Einkommen, das der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat (§ 7 Abs. 1 KStG).",§ 7 Abs. 1 KStG 1988,h12239827,"§ 7 Abs. 1 KStG 1988 allein ist nicht ausreichend, um die Frage nach der Bemessungsgrundlage vollständig zu beantworten. Er ist zwar der notwendige Ankerpunkt, aber er liefert nur die halbe Wahrheit. § 7 Abs. 1 ist die Überschrift, aber die Rechenformel steht in § 7 Abs. 2 i.V.m. den Gewinnermittlungsvorschriften des EStG.","§ 7 Abs. 1 KStG
§ 7 Abs. 2 KStG","""Der Körperschaftsteuer ist das Einkommen zugrunde zu legen, das die Körperschaft innerhalb eines Kalenderjahres erzielt hat.""
""Einkommen ist der Gesamtbetrag der Einkünfte aus den im § 2 Abs. 3 des Einkommensteuergesetzes 1988 aufgezählten Einkunftsarten nach Ausgleich mit Verlusten, die sich aus den einzelnen Einkunftsarten ergeben, und nach Abzug der Sonderausgaben (§ 8 Abs. 4).""",Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988; KStG 1988 §24 Abs2; EStG 1988 §4 Abs7 idF 1996/201; KStG 1988 §24 Abs1; EStG 1988 §6.,0.0,0.0,0.04081632653061225,0.6154327
CORP-TAX-002,"Welche steuerlichen Konsequenzen hat es, wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt?",Die nicht verrechneten Zinsen stellen eine verdeckte Ausschüttung dar (§ 8 Abs. 2 KStG) – das Einkommen wird um die fremdüblichen Zinsen erhöht. Grundlage der Einkommensermittlung ist § 7 Abs. 2/3 KStG. § 12 Abs. 1 Z 2 KStG kann zusätzlich greifen bei unangemessen hohen Gesellschaftervorteilen.,§ 7 Abs. 2/3 KStG 1988; § 8 Abs. 2 KStG 1988; § 12 Abs. 1 Z 2 KStG 1988,h12239827,,,,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: BWG 1993 §23 Abs6; BWG 1993 §1 Abs1; GewStG §4 Abs1; InvFG 1993 §1; KStG 1966 §8.,0.0,0.004199614253859223,0.0779220779220779,0.64609957
CORP-TAX-003,"Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen?","Steuerpflichtige, die aufgrund ihrer Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, rechnungslegungspflichtige Erwerbs- und Wirtschaftsgenossenschaften sowie vergleichbare ausländische Körperschaften (§ 7 Abs. 3 KStG).",§ 7 Abs. 3 KStG 1988,h12239827,,,,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1972 §4; EStG 1972 §4 Abs3; EStG 1972 §4 Abs4; EStG 1972 §4 Abs1; EStG 1972 §20.,0.0,0.006471824245088331,0.03508771929824561,0.61594373
CORP-TAX-004,Wie wird eine Dividende einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft steuerlich behandelt?,(a) Tochter: Die Ausschüttung ist Einkommensverwendung und beeinflusst das steuerpflichtige Einkommen der Tochter nicht (§ 8 Abs. 2 KStG). (b) Mutter: Die Dividende ist als Beteiligungsertrag steuerfrei – ohne Mindestquote oder Haltefrist (§ 10 Abs. 1 Z 1 KStG).,§ 8 Abs. 2 KStG 1988; § 10 Abs. 1 Z 1 KStG 1988,h12239827,,,,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §24 Abs5 Z5; KStG 1988 §24 Abs3 Z1; KStG 1988 §24 Abs2; KStG 1988 §24 Abs4 Z4; KStG 1988 §24 Abs1.,0.0,0.0,0.08219178082191782,0.63147026
CORP-TAX-005,Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?,"Im Ergebnis unterscheiden sie sich nicht. Beide sind Einkommensverwendung nach § 8 Abs. 2 KStG. Bei verdeckten Ausschüttungen werden die nicht fremdüblichen Aufwendungen dem Einkommen hinzugerechnet, da keine betriebliche Veranlassung vorliegt.",§ 8 Abs. 2 KStG 1988 ,h12239827,,,,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 31969L0335 Kapital Ansammlungs-RL indirekte Steuern Art4; InvFG 1963 §1; InvFG 1993; UmgrStG 1991 Art4; UmgrStG 1991.,0.0,0.006019189082104395,0.06451612903225808,0.6293553
CORP-TAX-006,Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?,"75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.",§ 8 Abs. 4 Z 2 lit. a–b KStG 1988,h12239827,,,,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG Preußen 1891 §8; DurchschnittssatzV Gewinnermittlung 2005/II/258; BudgetbegleitG 2001; DurchschnittssatzV Gewinnermittlung 2005/II/258 §8; EStG 1988 Forschungsfreibeträge 2002.,0.0,0.0,0.0547945205479452,0.62145513
CORP-TAX-007,Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?,"Ein Mantelkauf liegt vor, wenn die wirtschaftliche Identität einer Körperschaft durch wesentliche Änderung der Gesellschafter- und Unternehmensstruktur auf entgeltlicher Grundlage verloren geht (§ 8 Abs. 4 Z 2 lit. c KStG). Folge: Verlustabzug steht nicht mehr zu. Ausnahme: Sanierung zur Erhaltung wesentlicher Arbeitsplätze.",§ 8 Abs. 4 Z 2 lit. c KStG 1988,h12239827,,,,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: VereinsG 1951; EnFG 1979; GrEStG 1987; BewG 1955 §1 Abs1; BewG 1955 §1 Abs2.,0.0,0.004385206307818465,0.027777777777777776,0.6155833
CORP-TAX-008,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?,Der werthaltige Teil gilt als Einlage (§ 8 Abs. 1 KStG – außer Ansatz). Der nicht mehr werthaltige Teil ist steuerwirksam und erhöht das Einkommen der Körperschaft.,§ 8 Abs. 1 KStG 1988,h12239827,,,,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: BWG 1993 §23 Abs6; BWG 1993 §1 Abs1; UmgrStG 1991 §23; GewStG §4 Abs1; KStG 1966 §8.,0.0,0.006716472052354862,0.0689655172413793,0.64155674
CORP-TAX-009,Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?,"Bei ausländischen Mitgliedern (§ 9 Abs. 6 Z 6 KStG) werden nur die nach österreichischem Recht ermittelten Verluste (max. ausländischer Verlust) zugerechnet, begrenzt auf 75 % des österreichischen Gruppeneinkommens. Bei inländischen Mitgliedern wird das volle Ergebnis zugerechnet (§ 9 Abs. 6 Z 1 KStG).",§ 9 Abs. 6 Z 1 und Z 6 KStG 1988,h12239827,,,,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk USA 1998 Art17; DBAbk BRD 1955; DBAbk Argentinien 1983 Art11; DBAbk BRD 1955 Art16; DBAbk Brasilien 1976 Art11.,0.0,0.004656680898170125,0.052631578947368425,0.58137745
CORP-TAX-010,Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig?,Nein. Steuerumlagen zum Ausgleich der Wirkungen aus der Ergebniszurechnung sind gemäß § 9 Abs. 6 Z 5 KStG steuerneutral.,§ 9 Abs. 6 Z 5 KStG 1988,h12239827,,,,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 31969L0335 Kapital Ansammlungs-RL indirekte Steuern Art4; 31969L0335 Kapital Ansammlungs-RL indirekte Steuern; 32008L0007 Kapital Ansammlungs-RL indirekte Steuern Art5 Abs1 lita; 32008L0007 Kapital Ansammlungs-RL indirekte Steuern Art5 Abs1 litc; 32011L0096 Mutter/Tochter-RL Art2.,0.0,0.0,0.0,0.55316633
