id;answer
CORP-TAX-001;Die textgegebene Information ist nicht relevant für die Bestimmung der Körperschaftsteuer und kann daher nicht beantwortet werden.
CORP-TAX-002;Es gibt keine Steuerbegrenzungen oder Regelungen, die die Behandlung von zinslosen Darlehen an Gesellschafter regeln.
CORP-TAX-003;Die Körperschaften, die sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen sind, sind Unternehmen mit mehr als 25 % Beteiligung an Gesell ­schafter­ Geschäftsführer/innen.
CORP-TAX-004;Die Behandlung der Dividenden einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft hängt vom Doppelbesteuerungsabkommen zwischen Österreich und dem jeweiligen Quellenstaat ab.
CORP-TAX-005;Die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung unterscheidet sich nicht von der einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft.
CORP-TAX-006;Der maximal mögliche Verlustabzug in einem Veranlagungsjahr ist 1.095 € pro Monat. Es gibt keine Ausnahmen.
CORP-TAX-007;Der Text beschreibt, dass ein Mantelkauf als Sachbezug steuerfrei gestellt ist, wenn er bis 365 Euro oder Verpflegung am Arbeitsplatz liegt.
CORP-TAX-008;Der Steuerrecht gibt es keine besonderen Regelungen zum Forderungsverzicht eines Gesellschafters. Daher ist es keine Steuerbegrenzung oder -pflichtung.
CORP-TAX-009;Der Text gibt keine Informationen über die Verlustverrechnung von ausländischen Gruppenmitgliedern oder inländischer Gruppenmitglieder, daher kann die Frage nicht beantwortet werden.
CORP-TAX-010;Das Text zeigt keine Informationen zu Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern, daher kann die Frage nicht beantwortet werden.
CORP-TAX-011;Die Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind in der Regel abzugsfähig.
CORP-TAX-012;Die Behandlung der Dividenden einer ausländischen EU-Tochtergesellschaft steuerlich wird durch den Satz 184 des österreichischen Steuergesetzes bestimmt. In diesem Fall ist die Beteiligung der ausländischen Tochtergesellschaft mit 15 % steuermindernd abzugsfähig.
